"alteration"	"cis"	"mediated_trans"	"mediated_trans_weighted"	"total_trans"	"frac_mediated_trans"	"frac_mediated_trans_weighted"	"num_path_h.all.v5.0.symbols"	"num_path_c2.cp.v5.0.symbols"	"num_path_c3.tft.v5.0.symbols"	"paths_h.all.v5.0.symbols"	"paths_c2.cp.v5.0.symbols"	"paths_c3.tft.v5.0.symbols"	"rank"
"AmplificationPeak3"	"APH1A"	116	109.967110381222	311	0.372990353697749	0.353591994794928	1	0	11	"HALLMARK_MYOGENESIS"	""	"V$RFX1_02,GTTRYCATRR_UNKNOWN,V$RORA1_01,RYTGCNWTGGNR_UNKNOWN,V$CREBP1_Q2,V$ATF_B,GGGTGGRR_V$PAX4_03,CTGCAGY_UNKNOWN,V$NKX61_01,GTTGNYNNRGNAAC_UNKNOWN,YTAATTAA_V$LHX3_01"	1
"AmplificationPeak3"	"SF3B4"	19	18.6074048871921	311	0.0610932475884244	0.0598308838816465	0	0	0	""	""	""	2
"AmplificationPeak3"	"FLAD1"	19	17.0696943954175	311	0.0610932475884244	0.0548864771556833	0	0	0	""	""	""	3
"AmplificationPeak3"	"IQGAP3"	18	14.5303808438892	311	0.0578778135048231	0.0467214818131486	0	4	0	""	"ST_GRANULE_CELL_SURVIVAL_PATHWAY,PID_REELIN_PATHWAY,SIG_CD40PATHWAYMAP,ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS"	""	4
"AmplificationPeak3"	"SLC50A1"	23	14.2587890720948	311	0.0739549839228296	0.045848196373295	0	0	0	""	""	""	5
"AmplificationPeak3"	"HDGF"	16	13.6038752207918	311	0.0514469453376206	0.0437423640539931	0	0	0	""	""	""	6
"AmplificationPeak3"	"UCK2"	13	10.6927358142338	311	0.0418006430868167	0.0343817871840315	0	0	0	""	""	""	7
"AmplificationPeak3"	"TAGLN2"	15	10.2720521809563	311	0.0482315112540193	0.0330291066911779	1	0	58	"HALLMARK_APICAL_JUNCTION"	""	"V$MEF2_Q6_01,AAANWWTGC_UNKNOWN,V$ICSBP_Q6,TTAYRTAA_V$E4BP4_01,V$PAX8_B,V$COMP1_01,RAAGNYNNCTTY_UNKNOWN,V$E2F_Q2,YCATTAA_UNKNOWN,V$CREBP1_01,STTTCRNTTT_V$IRF_Q6,AACTTT_UNKNOWN,TGGAAA_V$NFAT_Q4_01,V$OCT1_02,V$RSRFC4_Q2,CTTTGA_V$LEF1_Q2,V$FAC1_01,V$CHX10_01,CTTTGT_V$LEF1_Q2,V$CART1_01,V$E2F1_Q4_01,V$HP1SITEFACTOR_Q6,V$SPZ1_01,V$E2F_Q3_01,V$CDPCR3HD_01,V$PIT1_Q6,V$NKX3A_01,V$E2F_Q4_01,V$MEF2_03,V$SMAD3_Q6,V$NKX62_Q2,V$IRF_Q6,V$RSRFC4_01,V$S8_01,V$TGIF_01,V$GATA4_Q3,V$CEBP_Q3,V$AREB6_04,V$MTF1_Q4,V$HNF4_01_B,V$CDX2_Q5,V$ZIC3_01,V$FOXO4_02,V$CDC5_01,V$P53_DECAMER_Q2,V$DR1_Q3,V$ERR1_Q2,V$PAX_Q6,V$AP4_01,V$TST1_01,V$NFY_Q6_01,V$OCT1_06,V$AML_Q6,V$OCT1_Q6,V$GR_Q6,V$NFE2_01,V$COREBINDINGFACTOR_Q6,V$GATA1_05"	8
"AmplificationPeak3"	"SMG7"	15	10.1582591634161	311	0.0482315112540193	0.0326632127441032	0	0	6	""	""	"V$HNF3_Q6,V$FOX_Q2,V$NKX62_Q2,V$AP1_C,TGCCAAR_V$NF1_Q6,TGTTTGY_V$HNF3_Q6"	9
"AmplificationPeak3"	"TUFT1"	8	4.38670917557855	311	0.0257234726688103	0.0141051741980018	0	0	0	""	""	""	10
